CustomerID,firstName,lastName,eMail,phone,streetAddress,city,stateCode,zipcode
1,John,Smith,john.smith@example.com,(123) 456-7890,123 Main St,Springfield,IL,62701
2,Emily,Johnson,emily.johnson@example.com,(987) 654-3210,456 Oak Ave,Columbus,OH,43210
3,Michael,Williams,michael.williams@example.com,(555) 123-4567,789 Pine Rd,Denver,CO,80202
4,Sarah,Brown,sarah.brown@example.com,(800) 555-1212,321 Elm St,Seattle,WA,98101
5,Daniel,Jones,daniel.jones@example.com,(213) 555-6789,654 Maple St,Los Angeles,CA,90001
6,Laura,Miller,laura.miller@example.com,(310) 555-1234,987 Cedar Blvd,Miami,FL,33101
7,Emma,Davis,emma.davis@example.com,(617) 555-7890,234 Birch St,Boston,MA,02108
8,David,Wilson,david.wilson@example.com,(303) 555-4321,876 Spruce Rd,Chicago,IL,60601
9,Olivia,Moore,olivia.moore@example.com,(415) 555-9876,543 Hickory Dr,San Francisco,CA,94103
10,James,Anderson,james.anderson@example.com,(212) 555-3456,876 Aspen Rd,New York,NY,10001
